date,symbol,target_close,action,cash,shares,portfolio_value,buy_hold_value,predicted_action
2024-11-19 09:30:00,JFC,267.4,HOLD,0.0,395.6077154647644,105785.50311527798,111416.66666666666,HOLD
2024-11-20 09:30:00,JFC,274.0,SELL,108396.51403734545,0.0,108396.51403734545,114166.66666666667,SELL
2024-11-21 09:30:00,JFC,269.4,SELL,108396.51403734545,0.0,108396.51403734545,112250.0,SELL
2024-11-22 09:30:00,JFC,265.0,SELL,108396.51403734545,0.0,108396.51403734545,110416.66666666667,SELL
2024-11-25 09:30:00,JFC,275.6,HOLD,108396.51403734545,0.0,108396.51403734545,114833.33333333334,HOLD
2024-11-26 09:30:00,JFC,271.6,HOLD,108396.51403734545,0.0,108396.51403734545,113166.66666666669,HOLD
2024-11-27 09:30:00,JFC,271.8,BUY,0.0,398.8098382536624,108396.51403734545,113250.00000000001,BUY
2024-11-28 09:30:00,JFC,261.2,HOLD,0.0,398.8098382536624,104169.12975185661,108833.33333333333,HOLD
2024-11-29 09:30:00,JFC,258.0,BUY,0.0,398.8098382536624,102892.9382694449,107500.0,BUY
2024-12-02 09:30:00,JFC,265.0,BUY,0.0,398.8098382536624,105684.60713722053,110416.66666666667,BUY
2024-12-03 09:30:00,JFC,262.0,BUY,0.0,398.8098382536624,104488.17762245955,109166.66666666667,BUY
2024-12-04 09:30:00,JFC,262.0,HOLD,0.0,398.8098382536624,104488.17762245955,109166.66666666667,HOLD
2024-12-05 09:30:00,JFC,262.8,HOLD,0.0,398.8098382536624,104807.22549306249,109500.00000000001,HOLD
2024-12-06 09:30:00,JFC,266.8,HOLD,0.0,398.8098382536624,106402.46484607713,111166.66666666667,HOLD
2024-12-09 09:30:00,JFC,260.0,HOLD,0.0,398.8098382536624,103690.55794595223,108333.33333333334,HOLD
2024-12-10 09:30:00,JFC,270.0,BUY,0.0,398.8098382536624,107678.65632848885,112500.0,BUY
2024-12-11 09:30:00,JFC,268.6,SELL,107120.32255493374,0.0,107120.32255493374,111916.66666666669,SELL
